sample-pruner: freed 0.45 GB, 1794 pruned, 0 checked
sample-pruner: freed 0.15 GB, 1796 pruned, 0 checked
sample-pruner: freed 0.21 GB, 1798 pruned, 0 checked
sample-pruner: freed 0.34 GB, 1802 pruned, 0 checked
sample-pruner: freed 0.45 GB, 1806 pruned, 0 checked
sample-pruner: freed 0.25 GB, 1809 pruned, 0 checked
sample-pruner: freed 0.54 GB, 1815 pruned, 0 checked
sample-pruner: freed 0.39 GB, 1820 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1823 pruned, 0 checked
sample-pruner: freed 0.46 GB, 1830 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1837 pruned, 0 checked
sample-pruner: freed 0.27 GB, 1840 pruned, 0 checked
sample-pruner: freed 0.19 GB, 1843 pruned, 0 checked
sample-pruner: freed 0.33 GB, 1847 pruned, 0 checked
sample-pruner: freed 0.24 GB, 1850 pruned, 0 checked
sample-pruner: freed 0.41 GB, 1855 pruned, 0 checked
sample-pruner: freed 0.12 GB, 1856 pruned, 0 checked
sample-pruner: freed 0.49 GB, 1860 pruned, 0 checked
sample-pruner: freed 0.34 GB, 1864 pruned, 0 checked
sample-pruner: freed 0.44 GB, 1870 pruned, 0 checked
sample-pruner: freed 0.38 GB, 1875 pruned, 0 checked
sample-pruner: freed 0.68 GB, 1882 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1885 pruned, 0 checked
sample-pruner: freed 0.18 GB, 1888 pruned, 0 checked
sample-pruner: freed 0.32 GB, 1892 pruned, 0 checked
sample-pruner: freed 0.26 GB, 1895 pruned, 0 checked
sample-pruner: freed 0.36 GB, 1900 pruned, 0 checked
sample-pruner: freed 0.11 GB, 1901 pruned, 0 checked
sample-pruner: freed 0.24 GB, 1903 pruned, 0 checked
sample-pruner: freed 0.40 GB, 1908 pruned, 0 checked
sample-pruner: freed 0.07 GB, 1909 pruned, 0 checked
sample-pruner: freed 0.64 GB, 1914 pruned, 0 checked
sample-pruner: freed 0.45 GB, 1918 pruned, 0 checked
sample-pruner: freed 0.41 GB, 1923 pruned, 0 checked
sample-pruner: freed 0.24 GB, 1927 pruned, 0 checked
sample-pruner: freed 0.56 GB, 1934 pruned, 0 checked
sample-pruner: freed 0.51 GB, 1939 pruned, 0 checked
sample-pruner: freed 0.44 GB, 1945 pruned, 0 checked
sample-pruner: freed 0.35 GB, 1949 pruned, 0 checked
sample-pruner: freed 0.30 GB, 1953 pruned, 0 checked
sample-pruner: freed 0.48 GB, 1960 pruned, 0 checked
sample-pruner: freed 0.55 GB, 1968 pruned, 0 checked
